sample_id,dataset,language,success,error,rouge1_f,rouge2_f,rougeL_f,detected_language,reference_summary,generated_summary
1,mlsum,fr,True,,0.1754385964912281,0.0,0.10526315789473685,fr,Mohamed Salah et Divock Origi ont permis à Liverpool de remporter son sixième trophée en C1 au terme d’une finale décevante.,"Liverpool a battu Tottenham 2-0 en finale de la Ligue des champions, mais Manchester United a perdu à Arsenal aux quarts de finale. Chelsea est éliminé par Llorinous Corious FC au dernier 16."
2,mlsum,fr,True,,0.23376623376623376,0.026666666666666665,0.15584415584415584,fr,"Le philosophe, mort samedi à 88 ans, a su faire vivre une longue tradition française alliant les charmes de la plume, le travail heureux de la pensée et les générosités du cœur.","Les Français ont trouvé un moyen de comprendre le désaccord avec les idées des autres. Au lieu d'être ouvertement, il a rendu possible la création d'œuvres comme celle du Sirénage nationaliste françai..."
3,mlsum,fr,True,,0.3333333333333333,0.17391304347826086,0.2916666666666667,fr,"L’auteur des best-sellers « Les Cinq Sens », « Petite Poucette », « Le Gaucher boiteux », s’est éteint à l’âge de 88 ans, « entouré de sa famille ».","Michel Serres est décédé samedi à l'âge de 88 ans, en paix à 19 heures amoureux des saveurs et de la science."
4,mlsum,fr,True,,0.358974358974359,0.07894736842105264,0.1794871794871795,fr,"Deuxième demi-finale de suite, pour un club seulement remonté dans l’élite en 2016 : la performance est remarquable et ancre un peu plus le LOU dans le paysage du rugby français.",Le Lyonnais se qualifie pour la deuxième année consécutive en demi-finale.L'équipe française est capable de retrouver sa force après deux points.Barceland parvient à faire 10 points supplémentaires da...
5,mlsum,fr,True,,0.2716049382716049,0.025316455696202528,0.14814814814814814,fr,"Plusieurs de ces manifestants arboraient une kippa, alors que le port de cette calotte dans l’espace public est l’objet d’un âpre débat depuis une semaine en Allemagne.","Plusieurs politiciens antisémites, membres du Bundestag et un membre de l'ambassadeur des États-Unis en Allemagne ont participé à une manifestation anti-semitiste organisée en solidarité avec les Juif..."
6,mlsum,fr,True,,0.1627906976744186,0.07142857142857142,0.1627906976744186,fr,"Le chanteur et guitariste texan fut un des fondateurs du genre en 1966 avec son groupe, The 13th Floor Elevators.","Roky Erickson est décédé le vendredi 31 mai 2018 dans sa ville natale d'Austin, au Texas où il est né le 15 juillet 1947. Après une carrière inconsciente empêchée par la schizophrénie et la mort préma..."
7,mlsum,fr,True,,0.3055555555555555,0.1142857142857143,0.19444444444444445,fr,"Le militant des droits humains avait été placé en détention le 31 mars pour « atteintes aux institutions », et observait depuis une grève de la faim.",Plusieurs milliers de personnes ont assisté aux funérailles de Kamil Eddin Fekher. Le médecin âgé de 54 ans était également un défenseur de la cause du Mozambique. Il a été arrêté le 31 mars pour avoi...
8,mlsum,fr,True,,0.21052631578947367,0.02702702702702703,0.10526315789473684,fr,Une équipe de l’Inrap a mis au jour un dépôt d’une trentaine de monnaies d’or et d’argent qui nous transportent dans la Bourgogne de la toute fin du XVe siècle.,Environ 33 pièces de monnaie ont été imprimées sur du papier sans valeur significative. Le gouvernement français a commencé à utiliser le système nouvellement créé des taux de change entre les États-U...
9,mlsum,fr,True,,0.47457627118644075,0.21052631578947367,0.2711864406779661,fr,Le Figaro 3 qui équipe tous les concurrents de la course partie dimanche de La Baule est le premier monotype de série équipé de foils.,La course Solitaire Urgo Le Figaro sera lancée le 2 juin à partir de la baie de La Baule (Loire-Atlantique) Les quarante-sept concurrents deviendront tous admirateurs du premier Figaro 3 riggé.
10,mlsum,fr,True,,0.14705882352941174,0.030303030303030307,0.11764705882352941,fr,"Dimanche, 47 concurrents s’élancent pour la première des quatre étapes de la Solitaire Urgo « Le Figaro ». Parmi eux, Loïck Peyron, Michel Desjoyeaux, ou Alain Gautier.","Le Solitaires du Figaro juin 2017 fête son 50e anniversaire. Pour cet anniversair, la course a été menée sur tous les bateaux identiques. Pour ce jubilé, il sera en compétition avec un nouveau bateau,..."
