sample_id,dataset,language,success,error,rouge1_f,rouge2_f,rougeL_f,detected_language,reference_summary,generated_summary
1,cnn_dailymail,en,True,,0.39999999999999997,0.22727272727272727,0.33333333333333337,en,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes ...","The Palestinian Authority officially becomes the 123rd member of the International Criminal Court.
The move gives the court jurisdiction over alleged crimes in Palestinian territories. The United Stat..."
2,cnn_dailymail,en,True,,0.4888888888888889,0.31818181818181823,0.4444444444444445,en,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a ho...","Theia, a white-and-black bully breed mix, was apparently hit by a car and buried in a field.
Four days later, she staggered to a nearby farm and was taken in by a worker.
She's been treated at Washing..."
3,cnn_dailymail,en,True,,0.4672897196261682,0.24761904761904763,0.26168224299065423,en,"Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister t...","Mohammad Javad Zarif is the Iranian foreign minister.
He has been the U.S. secretary of state's opposite number in nuclear talks. Iranian Foreign Minister Javad Zarif and U.S. Secretary of State John ..."
4,cnn_dailymail,en,True,,0.3561643835616438,0.16901408450704225,0.24657534246575344,en,"17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the p...","One of the five had a heart-related issue on Saturday and has been discharged but hasn't left the area.
They were exposed to Ebola in Sierra Leone in March."
5,cnn_dailymail,en,True,,0.3611111111111111,0.1142857142857143,0.2222222222222222,en,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
Th...","A student has admitted to hanging a noose from a tree near a student union, Duke says.
The prestigious private school didn't identify the student, citing federal privacy laws."
6,cnn_dailymail,en,True,,0.22988505747126436,0.07058823529411765,0.1839080459770115,en,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses is a star high school basketball player in Louisville, Kentucky.
He made the prom-posal in Ellie Meredith's P.E. class.
""That's the kind of person Trey is,"" a teacher says. Trey's future co..."
7,cnn_dailymail,en,True,,0.36363636363636365,0.13793103448275862,0.21590909090909088,en,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of te...","Amnesty International's annual death penalty report says number of executions fell by 22% in 2014.
But mass-sentencing cases increased by 28% globally last year.
Pakistan, China and Egypt are cited as..."
8,cnn_dailymail,en,True,,0.358974358974359,0.15789473684210528,0.33333333333333337,en,"Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Pol...","Andrew Getty appears to have died of natural causes, police say.
Coroner's preliminary assessment is there was no foul play involved, detective says.
The 47-year-old had ""several health issues,"" detec..."
9,cnn_dailymail,en,True,,0.23076923076923078,0.08,0.15384615384615385,en,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Tropical storm Maysak is centered 200 miles southwest of Aurora province.
It's expected to make landfall Sunday morning on the southeastern coast of Isabela province."
10,cnn_dailymail,en,True,,0.5365853658536586,0.30769230769230765,0.3902439024390244,en,"Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Barker hosted ""The Price Is Right"" for 35 years before stepping down in 2007.
He returned to the show on April 1."
11,cnn_dailymail,en,True,,0.24242424242424243,0.0625,0.18181818181818182,en,"London's Metropolitan Police say the man was arrested at Luton airport after landing on a flight from Istanbul .
He's been charged with terror offenses allegedly committed since the start of November ...","Yahya Rashid is charged with engaging in conduct in preparation of acts of terrorism.
He's also charged with engaging in conduct with the intention of assisting others to commit acts of terrorism."
12,cnn_dailymail,en,True,,0.2765957446808511,0.10869565217391305,0.19148936170212763,en,"""Furious 7"" pays tribute to star Paul Walker, who died during filming .
Vin Diesel: ""This movie is more than a movie""
""Furious 7"" opens Friday .","Paul Walker died in a car crash while filming ""Furious 7""
Fans have been paying tribute to the late actor. A week after Walker's death, about 5,000 people attended an outdoor memorial to him in Los An..."
13,cnn_dailymail,en,True,,0.31775700934579443,0.15238095238095237,0.205607476635514,en,"Museum: Anne Frank died earlier than previously believed .
Researchers re-examined archives and testimonies of survivors .
Anne and older sister Margot Frank are believed to have died in February 1945...","Anne Frank died of typhus in a Nazi concentration camp at the age of 15.
Two weeks after her supposed death, the Bergen-Belsen camp was liberated.
New research shows Anne and her older sister, Margot ..."
